Time,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others
2018-04-13 04:00:00 UTC,7821.878389,7824.733971,7817.20347,7791.913477,7806.132348,8043.761194,7817.44338,7817.241535,7768.310859
2018-04-13 05:00:00 UTC,7799.087114,7827.963946,7797.049908,7766.091831,7800.701063,8051.164388,7792.790141,7807.17733,7801.550494
2018-04-13 06:00:00 UTC,7828.863842,7851.290027,7828.191566,7764.465419,7824.359021,8065.771622,7830.138539,7840.305776,7843.47813
2018-04-13 07:00:00 UTC,7978.980794,8025.424974,7993.000749,7957.804956,7974.847005,8199.387547,8019.310151,8022.198999,7911.524117
2018-04-13 08:00:00 UTC,8093.012947,8096.129405,8087.666357,8100.369728,8089.429497,8294.167676,8096.080942,8113.769342,8077.873884
2018-04-13 09:00:00 UTC,8110.753655,8117.771344,8107.576792,8146.867246,8111.226606,8339.903328,8108.965723,8133.671138,8134.057871
2018-04-13 10:00:00 UTC,8065.573542,8065.62584,8061.546741,8110.94775,8057.450061,8295.814237,8057.506056,8073.133055,8031.925975
2018-04-13 11:00:00 UTC,8108.819527,8104.048045,8107.016287,8178.233344,8105.812692,8351.373058,8107.5075,8113.578529,8074.084985
2018-04-13 12:00:00 UTC,8159.284316,8158.993249,8158.456103,8224.297384,8148.902842,8395.273527,8158.473519,8166.391059,8093.076919
2018-04-13 13:00:00 UTC,8142.659768,8131.526962,8133.702362,8226.444295,8145.53856,8381.529112,8129.098118,8143.047451,8092.417226
2018-04-13 14:00:00 UTC,8101.629181,8067.447589,8085.769294,8183.67133,8085.104319,8298.832566,8092.425292,8098.524828,8030.719321
2018-04-13 15:00:00 UTC,8116.634327,8092.679528,8103.331479,8192.60258,8102.341393,8295.397689,8101.666129,8106.58273,8043.475702
2018-04-13 16:00:00 UTC,8132.609887,8131.898848,8124.845482,8210.155098,8119.28933,8326.431823,8123.332303,8120.232285,8046.86622
2018-04-13 17:00:00 UTC,8110.135839,8135.108671,8113.719771,8189.028844,8109.222911,8304.012383,8111.288934,8111.204444,8046.386335
2018-04-13 18:00:00 UTC,8105.215817,8095.898198,8105.028177,8185.557421,8101.474202,8306.369867,8105.168519,8107.80241,8059.633893
2018-04-13 19:00:00 UTC,8096.178071,8091.764115,8087.810502,8180.955527,8090.903333,8306.892883,8092.607664,8085.625651,8046.711376
2018-04-13 20:00:00 UTC,7955.397571,7915.261315,7950.161483,8018.70364,7950.535461,8164.822664,7944.764144,7950.683258,7954.220466
2018-04-13 21:00:00 UTC,7874.096173,7848.639837,7876.419814,7919.783922,7869.032244,8074.501398,7879.722927,7878.961825,7908.901308
